Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Agent,Okay. Nothing that said “how did you hear about us?” Or “referred by”,,,,,
Lead,,IMG_1543.jpeg,,,,
Lead,These are all the sections,,,,,
Agent,"Okay, go ahead and submit. I’ll follow up with them afterward",,,,,
Lead,Ok let me know if there is anything I need to do my end,,,,,
Agent,"Okay, will do",,,,,
Lead,"Hey I got appetite the apartment, I want to make sure you’re squared away on your end, also they didn’t give me the $957 base rent",,,,,
Agent,You saying you got approved? And base rent you’ll see doesn’t change. The special brings it down to that amount when you prorate the special,,,,,
Lead,,IMG_1576.jpeg,,,,
Lead,Yes I’m approved,,,,,
Agent,"Okay, look for a section pointing out any specials or concessions to see where the special is listed",,,,,
Lead,I’ll give them a call,,,,,
Agent,Okay,,,,,
Lead,,IMG_1585.heic,,,,
Lead,"I see it,",,,,,
Agent,Perfect!,,,,,
Agent,How long is your lease?,,,,,
Agent,"Hey Jeffery, I hope you had a smooth move in day. I’ll still be able to help throughout your lease any way that I can so never hesitate to reach out. I hope you love your new place!",,,,,
Lead,Thank you!,,,,,
Agent,Of course!,,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Hey Sterling! It’s Ashanti with Apt Amigo. Thanks for submitting your form, I’m happy to help you find your next apartment! Just a couple questions so I know exactly what you’re looking for…
 
 What areas/neighborhoods do you want to live?",,,,,
Lead,Hey I just wanna be more in the Downtown Houston area. I currently have a house in Humble. Ima a music executive and I’m always out in the city clubbing and that 35 minute drive back when you drunk and high is a huge risk.,,,,,
Lead,So I want a extra spot like a high rise in the city,,,,,
Agent,Got you. I got budget at $2700 for 2 bedrooms. Is budget flexible or firm? And are you open to 1 bedrooms also or need the 2nd room?,,,,,
Lead,Okay that’s fine but what’s the price of a 1 bed room. And do they have a 1bed 1.5 bath?,,,,,
Agent,Some will have 1bed/1.5bath. I just wanted to know if you’re open to 1 beds as well as 2 beds. You’ll have a lot more options for Highrises if you do a 1 bedroom and generally can have a bigger more open living space.,,,,,
Agent,How soon are you trying to move?,,,,,
Lead,Okay well we can do a 1 bed 1.5 bath if there’s gonna be more living and dining space,,,,,
Lead,And I’m looking for new years,,,,,
Lead,I just wanna know the budget now because when I move in I’m paying 4 months rent upfront,,,,,
Agent,"Okay so we can only see availability about 60 days in advance. That’s when 60 day notices will be in from current renters. For a January 1st move date we’ll want to start searching around Nov 1st. 
 
 If you start touring now and don’t apply until November, when there is January availability, you won’t be eligible for look & lease specials. 
 
 I recommend just having a set budget, whatever it is just a number you definitely don’t want to go over and when we search I’ll use that as a benchmark and look for everything lower, 1 & 2 bedrooms. But we should definitely get started late Oct/early Nov. You’ll thank me for it I promise. That sound good?",,,,,
Lead,Okay bet yeah that’s sounds good,,,,,
Agent,"Bet, I’ll reach out toward the end of October",,,,,
Lead,Perfect,,,,,
Agent,,Audio Message.caf,,,,
Lead,Okay awesome yes I’m still interested. When can we look at some properties?,,,,,
Agent,"Perfect, we can start looking asap. What budget do you need to stay under?",,,,,
Lead,3500 or less. I’ve been looking. I really wanna see Drewery Place on Fannin they are so hard to get into just the view they stay super booked,,,,,
Agent,Can you go Thursday at 10:30am or 1:30pm?,,,,,
Lead,That’s my birthday Halloween and I’m having a big 30th birthday party that day so I can’t,,,,,
Lead,Maybe the 2nd that Saturday,,,,,
Agent,"Okay, happy early Bday man",,,,,
Lead,Thanks bro,,,,,
Agent,Sat is booked. Can you do Monday the 4th?,,,,,
Agent,Reacted 💪🏼 to “Thanks bro ”,,,,,
Lead,I can really only do weekends because my partner works 7am-7:00pm Monday-Friday.,,,,,
Lead,Unless he takes off a day during the week. Something he takes Wednesdays off,,,,,
Agent,"Okay, there’s an open slot tomorrow at 10:30am. Or we can schedule for next Wednesday or next Saturday the 9th?",,,,,
Lead,The 9th is fine,,,,,
Agent,Liked “The 9th is fine ”,,,,,
Agent,"You’re all set for Drewery Place, Saturday, Nov 9th @ 11:30am
 
 I’ll be here if you have any questions!",,,,,
Lead,Awesome,,,,,
Lead,Thank you,,,,,
Agent,My pleasure,,,,,
Agent,"Good morning Sterling, just wanted to check in and make sure plans are still to see Drewery Place this Saturday?",,,,,
Agent,,Audio Message.caf,,,,
Agent,Scheduled you at Drewery Place Saturday Nov 30th @ 2:30pm. Literally the only slot left. Let me know if there’s anything else I can do 👌🏽,,,,,
Agent,"I’d like to set up Catalyst, Brava, and Elev8. All have a floor plan either 2 bed or 1 bed with a study within price range. Elev8 has a two story 1 bed/1.5 bath for $3400 that you might like. 
 
 Let me know if I’m good to schedule",,,,,
Lead,Ouueeee yes sir I definitely wanna see the two story as well!!!,,,,,
Lead,Just please send me the schedule and we will be there,,,,,
Agent,Perfect! Will do,,,,,
Lead,Loved “Perfect! Will do”,,,,,
Agent,"Hey Sterling , here’s your schedule for this weekend.
 
 Saturday, Dec 7
 1pm - Elev8
 2pm - Catalyst
 3pm - Brava
 
 Let me know if you have any questions!",,,,,
Lead,Hey okay awesome thank you so much! I appreciate that.,,,,,
Agent,Pleasure is mine!,,,,,
Agent,Good morning Sterling! Good luck touring today. If I can help in any way please let me know how,,,,,
Lead,Loved “Good morning Sterling! Good luck touring today. If…”,,,,,
Lead,"We are getting ready now, thank you so much.",,,,,
Agent,"Loved “We are getting ready now, thank you so much. ”",,,,,
Agent,"Sounds perfect, my pleasure",,,,,
Agent,"Hey Sterling, how did everything go yesterday? Did any one stand out most?",,,,,
Lead,I really only liked the first one we went to. But the plan that I think will work best they didn’t have one to show,,,,,
Lead,Unfortunately,,,,,
Agent,,IMG_1903.MOV,,,,
Agent,Is it the 2 story?,,,,,
Lead,No I liked it but I didn’t like the bedroom had no door or wall,,,,,
Lead,It was a 2/2 but she said she didn’t have one to show she just showed me a video,,,,,
Agent,Got you. We can plan to have one more weekend of tours as I look for more deals that become available. I know you were looking to move around the new year. Is that still the case?,,,,,
Lead,"Yes we can do another weekend, and honestly at this point it may be February. Ima Artist and Music Executive so I’m traveling more on the road I didn’t think I would be this month and next month but they making me release a new record and got me on promo hitting different cities",,,,,
Lead,Maybe even march at the absolute worst. I drop the record End of January,,,,,
Agent,Okay got it. It’ll be up to you. I’m not sure if you’ll want to worry about moving once you drop your record and start moving around so much. Either way we’ll see what we can do do find the right spot. I’ll even look for Feb/March availability so you can at least lock down your unit now and know where you’ll be moving then,,,,,
Lead,Okay that’ll be perfect,,,,,
Lead,I’ll even extend the search to montrose/ third ward area if they have any. Allen PKWY even!,,,,,
Agent,Got it!,,,,,
Lead,So I guess we can do another 2-4 if you can schedule it. I really do appreciate you bro.,,,,,
Agent,For sure. I’ll look again today and tomorrow. Happy I can help bro,,,,,
Lead,Awesome no rush take your time,,,,,
Agent,Loved “Awesome no rush take your time ”,,,,,
Agent,"Hey Sterling, wanted to get these to you. I think they’re some great options for this weekend. Let me know what you think!
 
 Forth at Navigation - 2bed | 1335 sqft | $2951
 
 Modera Waugh - 1 bed | 1254 sqft | $3475 (huge living space)
 
 Parkside Residences - 2 bed | 1530 sqft | $3672. Amazing opportunity at this price slightly over budget but you might just love it. Plus I believe this unit has 6 weeks free
 
 Bowen River Oaks - 2 bed | 1319 sqft | $3119
 
 Crimson - 2 bed | 1382 sqft | $3575",,,,,
Lead,"Liked “Hey Sterling, wanted to get these to you. I think …”",,,,,
Lead,I think we can do that!,,,,,
Agent,Okay! Let me know if you want to see them all or just a few,,,,,
Lead,Yes all of them would be great,,,,,
Agent,Loved “Yes all of them would be great ”,,,,,
Agent,Hey Sterling! The reel you commented on was Drewery Place. Just one of their Penthouse units,,,,,
Lead,Ohhhh okay gotcha,,,,,
Lead,https://www.instagram.com/reel/C__pKWDSHYM/?igsh=MTV3NnM1bzdodDJzeQ==,,,,,
Lead,Hey what place is this!,,,,,
Agent,That’s Allure Hermann Park. I think that exact floorplan is available for $3400. Want to check it out?,,,,,
Lead,Yes I’d like to check it out.,,,,,
Agent,Liked “Yes I’d like to check it out. ”,,,,,
Agent,I’ll schedule for Saturday,,,,,
Lead,Awesome,,,,,
Agent,"Good morning Sterling. Here’s your final schedule for tomorrow along with suggested floor plans I think you’ll like best. Let me know if you have any questions!
 
 10 AM – allure Hermann Park
 Warhol | 2/2.5 | $3354 | 1674 sqft 
 
 11 AM – fourth at navigation 
 B3 | 2/2 | $2951 | 1335 sqft
 C1 | 3/2.5 | $3414 | 1626 sqft 
 
 12 PM – Parkside residence 
 B1 | 2/2 | $3672 | 1530 sqft
 
 1 PM – Madera Waugh
 A12 | 1/1 | $3375 | 1254 sqft
 You can decide on seeing a 2 bed also but this one has largest living area
 
 2 PM – Crimson 
 B9A - 2/2.5 | $3590 | 1928 sqft
 https://tour.tourbuilder.com/?tour=64b8540f06586007e25ed1e6
 Huge unit but check the virtual tour. Not sure I’m the biggest fan of how they used the space. Check to see if any other floorplans interest you
 
 3 PM – Bowen River Oaks 
 Availability has changed and honestly not sure if current floorplans are what you’re looking for. Take a look before touring and let me know if it’s worth the time",,,,,
Lead,Thank you so much bro!,,,,,
Agent,Pleasure is mine!,,,,,
Lead,6 places in one day is dope. Hopefully we can choose after this weekend lol,,,,,
Agent,"Yea lol I’m hoping so 🤞🏼. I’m most hype for you to see Parkside Residences, that’s my favorite",,,,,
Lead,I’ve never even heard of that so I’m excited as well lol,,,,,
Agent,Emphasized “I’ve never even heard of that so I’m excited as we…”,,,,,
Agent,Let me know how everything goes!,,,,,
Lead,Yes sir I will.,,,,,
Agent,Loved “Yes sir I will. ”,,,,,
Agent,"Hey Sterling, making sure everything went well today. Let me know if you think we found the right one or still looking when you get a chance",,,,,
Agent,,Audio Message.caf,,,,
Lead,My bad bro. My mother had a stroke so I been dealing with that.,,,,,
Lead,We didn’t get to see the last one because they didn’t have anything to show,,,,,
Lead,We like crimson but there’s literally no views at all. Everything is on the lower level and nothing to see,,,,,
Lead,Allure is super outdated,,,,,
Lead,Fourth isn’t a highrise and we hate the layout and also no views at all,,,,,
Lead,Parkside was coo but we can get the same thing cheaper at Camden downtown,,,,,
Lead,Madera was like $4.2k for a 2 bedroom with no view at all.,,,,,
Agent,"Maan, truly I’m so sorry to hear that bro. I’m praying it all ends up okay 🙏🏼",,,,,
Agent,It sounds like you’re leaning toward Camden Downtown. The one floor plan I can think of is Drewery Place - the B3.1. It’s 1522 sqft for $3397,,,,,
Agent,https://1drv.ms/v/s!AqEBmyuQkYUXkQ9Lsm-DkVPQxSri?e=xInw9q,,,,,
Agent,And do you recall what floor plan at Crimson you liked? They have some availability on their higher floors,,,,,
Agent,,Audio Message.caf,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Hey Cristal! it’s Ashanti with Apt Amigo. Thanks for submitting your form, I’m happy to help you find your next apartment. Just a couple details so I know exactly what you’re looking for!
 
 What areas or neighborhoods are you considering?",,,,,
Lead,"Hi Ashanti! Thank you for your help! I’m thinking spring branch, west university place, the heights, etc",,,,,
Lead,I’m open to areas but I don’t want to be super far from Downtown. So areas like Katy and Woodlands are too far for me,,,,,
Lead,I just want to be in a safe area since I’m a single woman living alone.,,,,,
Agent,Got it! Do you have a lease ending soon or is your move date open?,,,,,
Lead,I can be a little flexible like 1 week timeframe,,,,,
Agent,So when are you looking to move? In the next week?,,,,,
Lead,No sorry 12/1! I thought I wrote it in the inquiry when I first emailed,,,,,
Lead,I’m going to be flying into Houston 10/30-11/2 to view apartments. I currently live in Florida,,,,,
Agent,"Got it! We receive a general timeframe when you submit your form but that’s perfect info, thanks! 
 
 For your budget of $1400. Is that absolutely max or are you flexible at all?",,,,,
Lead,"I’m hoping to stay around that $1400 base rent. A little more would be fine but I’m going off base rent because I know most complexes will charge extra fees for valet trash, packages etc",,,,,
Agent,No problem. Anything else you want to share before I search that would make the perfect apartment for you?,,,,,
Lead,Has to have in unit washer and dryer and Gym!,,,,,
Agent,Okay! I’ll send some options later today and we’ll start to narrow down your favorites for when you visit 👍🏼,,,,,
Lead,Okay!,,,,,
Agent,"Good evening Cristal, sorry for the late message. I just emailed your list
 
 Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽
 
 I added options up to $1500, many of which are running specials that will bring monthly rent under $1400. 
 
 Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll have them set them up for when you’re in town!",,,,,
Agent,"Also you’ll be getting a $200 cash rebate or free move (your choice). 
 
 And I can only do that if you list me as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start an app and I’ll guide you.",,,,,
Lead,Thank you! Quick questions what are the names of these (from your IG):,,,,,
Lead,https://www.instagram.com/reel/C-dN-qjObSj/?igsh=MWVqZHBpcTU0dzk1ZA==,,,,,
Lead,https://www.instagram.com/reel/C-snhmVOtC7/?igsh=cXM5d2E5YnFxM2Jv,,,,,
Lead,https://www.instagram.com/reel/C_vlVoHuz9S/?igsh=ejVuZGpncjdibjVv,,,,,
Lead,,,,,,
Agent,Loved “Thank you! Quick questions what are the names of t…”,,,,,
Agent,Resia Ten Oaks,,,,,
Agent,Citadel,,,,,
Agent,The Exchange,,,,,
Lead,Thank you! The west over apartments I don’t see the special listed on their site. Is that one where you’d have to go with me so I can get the special?,,,,,
Agent,,Screenshot 2024-10-15 at 2.04.33 PM.jpeg,,,,
Agent,"Of course! It shows as a pop-up. No, I don’t have to be there for Westover, I would just need to send your guest card to the leasing office before you show up to tour",,,,,
Agent,Have you decided on which apts you want to tour?,,,,,
Lead,Yes stadia med main and flats at west Alabama but I don’t see that they have any apartments available,,,,,
Lead,This one as well!,,,,,
Agent,Good morning! It looks like the units in price range at Flats at west Alabama were leased. I’ll keep an eye on them to see if prices drop.,,,,,
Agent,We can definitely have Stadia Med main and Resia Ten Oaks on the schedule for when you visit!,,,,,
Lead,Okay great!,,,,,
Lead,I also saw this one on your Instagram,,,,,
Lead,https://www.instagram.com/reel/DA_eud9SCMx/?igsh=cXNyZ2phdGE0NmUw,,,,,
Lead,I’ll keep an eye out on your Instagram between now and when I fly into Houston Incase I see more I like!,,,,,
Agent,These are called Evolve Champions!,,,,,
Agent,Sounds perfect. I’ll be running another search before you come as well!,,,,,
Lead,Okay perfect! Thank you,,,,,
Agent,Of course!,,,,,
Lead,Hey ashanti! What are the names of these?,,,,,
Lead,https://www.instagram.com/reel/DBeYOEtuDs4/?igsh=MTF3YW1yaWphMm9nNg==,,,,,
Agent,Hey Cristal! These are Lenox Grand West in Katy,,,,,
Agent,I’m going to update your portal tonight and we can solidify your tours for your visit this week!,,,,,
Agent,"Good evening Cristal, I just emailed you another list. 
 
 Same as last time, I added options up to $1500. Many of which are running specials that will bring rent below $1400 per month. 
 
 Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling
 
 Let me know all you’ll want to tour ideally in the next 24 hours along and I’ll set them up!",,,,,
Agent,"Hey Cristal, do you have your list of apartments you’re wanting to tour on your visit?",,,,,
Lead,Yes stadia med main and evolve champions,,,,,
Lead,I also found Caroline at memorial and memorial west but not sure if you work with them,,,,,
Lead,I do like resiq but I see that it’s going for $1550+ base rent. Do you know if the 2 month free special is upfront or can it be prorated?,,,,,
Agent,Liked “Yes stadia med main and evolve champions ”,,,,,
Agent,I can definitely have them scheduled. For Caroline Memorial the floor plans within budget are income restricted so look at the photo and let me know if you would qualify. Any floorplan with a “P” is restricted,,,,,
Agent,,IMG_1832.PNG,,,,
Agent,"And Resia I believe you’ll get the special starting on the 2nd month. It won’t be prorated, specials are rarely prorated in Houston but you will always have the option to self-prorate",,,,,
Agent,There’s also a brand new apartment called Broadstone Amelia you may want to see. 1 bedrooms for $1482 + 2 months free = $1254/mo self prorated,,,,,
Agent,Broadstoneamelia.com,,,,,
Lead,Yeah the P8,,,,,
Lead,I called Amelia this morning actually but they said the 1 bedroom that is atleast 700 sq feet is going for $1580,,,,,
Agent,"Okay, to be sure these are the four you need tours scheduled for?
 
 Stadia med main
 Evolve Champions
 Memorial West
 Caroline at Memorial",,,,,
Agent,Let me know so I can schedule. One more I’d recommend is Avasa Spring Branch. 1 bedroom 709sqft is $1499 + 6 weeks free. Cheaper than the units at Caroline at Memorial are so figured you may be interested,,,,,
Lead,"Yes just those , I saw Avasa on the list and it looks nice but few recent reviews talking about infestations and rats",,,,,
Agent,"Got it. Mmm those are really recent, I didn’t see those before thanks for pointing out!",,,,,
Agent,Please let me know what time you’ll be in on Wednesday and if you’d like to start touring straight away or begin Thursday morning,,,,,
Lead,"It would have to be Thursday because I get in tomorrow night. 
 Can you schedule the following: 
 10/31: 
 Caroline: 1pm 
 Memorial: 4pm 
 
 11/1: 
 Evolve: 9:30am
 Stadia 4pm",,,,,
Agent,"Okay, here’s your schedule:
 
 Thursday, October 31
 1pm - Caroline at Memorial
 4:15pm - Memorial West
 
 Friday, November 1
 10am - Evolve Champions
 4pm - Stadia Med Main
 
 Let me know if you have any questions!",,,,,
Lead,Okay thank you!,,,,,
Agent,Pleasure is mine!,,,,,
Agent,"Good morning Cristal, good luck touring today! If you have any questions or concerns along the way just call or text me. And please let each apartment know that I sent you when they ask 👍🏼",,,,,
Lead,Good morning! Thank you!!,,,,,
Agent,Loved “Good morning! Thank you!! ”,,,,,
Agent,"Good afternoon Cristal, checking on how you’re feeling after all tours. Have we found the right one or is the search still on?",,,,,
Agent,"Hey Cristal, how did everything go while you were here? Any luck choosing the right place?",,,,,
Agent,"Hey Cristal, have you been able to narrow down options from the tours?",,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Hey Courtney! it’s Ashanti with Apt Amigo. Thanks for submitting your form, I’m happy to help you find your next apartment. Just a couple details so I can find exactly what you’re looking for!
 
 Do you have a lease ending soon or is your move date open and flexible?",,,,,
Lead,Hi Ashanti ! My current lease is ending December 17. I was looking for maybe the week before that or Dec 16. since the holiday will be rolling out around then and I will be out of town.,,,,,
Agent,"Got it! Thanks for being so detailed on location. 
 
 I have your price for 2 bedrooms at $1800. Is price flexible at all or is $1800 absolute max for rent?",,,,,
Lead,it’s definitely flexible if the apartment is worth it if that makes sense.,,,,,
Lead,but i trust your judgement the location is my main concern at the moment.,,,,,
Agent,"Got it. Is there a cut off price that I should avoid sending deals priced at?
 
 And any other building or apartment unit details you want to share that would make your new place perfect?",,,,,
Lead,maybe anything up to $2000 i guess would be the cut off.,,,,,
Lead,as far as details umm i definitely want something with a parking garage i think they call it detached garages.,,,,,
Lead,other than that i’m pretty open about the specifics,,,,,
Lead,"i just want to be somewhere safe, nice and a little closer to work to make my commute less.",,,,,
Lead,i will say i do work in 77057 Williams Towers area incase you may have any options there. i’m still new to htx. it’s only been a year for me so im still getting used to the areas and what’s what.,,,,,
Agent,"Okay, got it. I’ll send some options in a bit and we’ll start getting you scheduled for some tours 👍🏼",,,,,
Lead,"Loved “Okay, got it. I’ll send some options in a bit and …”",,,,,
Lead,sounds good. thank you !,,,,,
Agent,"My pleasure! I just emailed your list
 
 Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽
 
 I added a “Favorite ⭐️” for all my favorites on the list based on what we spoke about. My #1 to stay in budget for you is Citadel, they have a 2 bed for $1739. They have security at the parking garage every night until early morning. 
 
 Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up!",,,,,
Agent,"Also you’ll be getting a $200 cash rebate or free move (your choice). 
 
 And I can only do that if you list me as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start an app and I’ll guide you!",,,,,
Lead,"Loved “My pleasure! I just emailed your list
 
 Some requi…”",,,,,
Lead,Loved “Also you’ll be getting a $200 cash rebate or free …”,,,,,
Lead,oh wow that was so fast you’re on it ! i got the email i’ll take a look at it when i get off work if that’s okay and give you my list for tours for us to set something up.,,,,,
Lead,the weekends are preferably better but i’ll have that lists of the ones i like to you soon.,,,,,
Agent,Loved “oh wow that was so fast you’re on it ! i got the e…”,,,,,
Agent,Loved “the weekends are preferably better but i’ll have t…”,,,,,
Agent,That’s perfect! When you send back your favorites I’ll start scheduling for this weekend 👍🏼,,,,,
Lead,Loved “That’s perfect! When you send back your favorites …”,,,,,
Lead,"1. Timbergrove Station 
 2. Vibe at Med Center 
 3. Define Living at Brittmore 
 4. Lenox Oaks 
 5. Citadel
 6. Sky house 
 7. the westover at west branch 
 8. Lively at Antoine",,,,,
Lead,"hey ashanti ! okay so from the list these are the 8 i’ll be choosing from to start the tours. lmk if you need any more info from me. any time this weekend works im free all day, the more the better. thanks again 🙏🏾",,,,,
Agent,"Loved “1. Timbergrove Station 
 2. Vibe at Med Center 
 3.…”",,,,,
Agent,Loved “hey ashanti ! okay so from the list these are the …”,,,,,
Agent,Sounds perfect! I’ll have them scheduled for this Saturday & Sunday 👍🏼,,,,,
Lead,Loved “Sounds perfect! I’ll have them scheduled for this …”,,,,,
Lead,perfect ! if we have to split them up into next weekend that’s also fine btw.,,,,,
Agent,Liked “perfect ! if we have to split them up into next we…”,,,,,
Agent,Noted! I’ll let you know once they’re all scheduled,,,,,
Lead,Loved “Noted! I’ll let you know once they’re all schedul…”,,,,,
Agent,"Hey Courtney, here’s your full schedule for this weekend:
 
 Saturday, Oct 19
 10:30am - Westover at West Branch
 11:30am - Define Living at Brittmoore
 12:15pm - Timbergrove Station
 1:30pm - The Lively at Antoine
 2:30pm - Citadel Apartments
 3:30pm - Skyhouse River Oaks
 
 Sunday, Oct 20
 2pm - Vibe Med Center
 3:15pm - Lenox Oaks
 
 Let me know if you have any questions!",,,,,
Lead,"Loved “Hey Courtney, here’s your full schedule for this w…”",,,,,
Lead,"hey ashanti ! yess i got all the notifications thank you for finalizing this. i’m hoping one of these properties can be the one. 
 
 also i must say i have hit up several ppl and either received no response or poor service. so this really means a lot. i commend/appreciate your help and efficiency. thank you again!",,,,,
Agent,"Perfect, I am too!🤞🏼
 
 & I’m just happy to help! Thanks for deciding to work with me",,,,,
Lead,"Loved “Perfect, I am too!🤞🏼
 
 & I’m just happy to help! …”",,,,,
Agent,"Hey Courtney! Vibe Med Center is going to be closed Sunday. And Saturday the times with other tours conflict. 
 
 Would you be able to make a tour work tomorrow? They have times pretty much all day from 10am-5pm?",,,,,
Lead,"hey ! sadly i work until 4:30pm tmrw so i won’t be able to it’s cutting close. would you be able to schedule it for next week saturday ? if you are able to, we can do lenox oaks that day as well instead of sunday with vibe med center.",,,,,
Agent,No worries! I’ll schedule Vibe and Lenox Oaks for next week Saturday 👍🏼,,,,,
Lead,sounds great! thank you!,,,,,
Agent,Of course!,,,,,
Agent,"Hey Courtney, you should’ve got the email confirmation but updating you here with next Saturdays schedule so you have it!
 
 Saturday, Oct 26
 11am - Vibe Med Center
 12:15pm - Lenox Oaks
 
 Let me know if you have any questions!",,,,,
Lead,"Loved “Hey Courtney, you should’ve got the email confirma…”",,,,,
Lead,sounds great. thank you for the update ! i’ll keep you posted on these tours as we go along 😊,,,,,
Agent,My pleasure! Sounds perfect!👌🏼,,,,,
Agent,Good morning! ☀️ good luck touring today. If you have any questions or concerns along the way just call or text me. And please let each apartment know that I sent you when they ask 👍🏼,,,,,
Agent,"Also there are a few changes that have affected availability for your December time frame and/or buildings I wanted to point out… 
 
 Define Living at Brittmoore - looks like the one availability close to your date is a flourish floor plan 2bed/2bath available Nov15 for $1990. Unit #1360. See how flexible they can be with move in dates. 
 
 Citadel Apartments - I think your best option is a B4 floorplan. Unit 443 for $2010 available Nov 29. Don’t let them miss out on showing you this floorplan. 
 
 Skyhouse River Oaks - I’m only seeing their best price now being $2130 for a 2 bedroom and nothing available in December any longer. It’s up to you if you want to keep the tour incase something opens up that fits your criteria
 
 *Other tours have multiple options to choose from for December",,,,,
Lead,Loved “Good morning! ☀️ good luck touring today. If you h…”,,,,,
Lead,Loved “Also there are a few changes that have affected av…”,,,,,
Lead,"good morning!!! you are on it i love it ! i’ll be sure to let them know you’re our referral. 
 
 thanks for the heads up on these. i’ll keep you posted as we go.",,,,,
Agent,Loved “good morning!!! you are on it i love it ! i’ll be …”,,,,,
Agent,Sounds perfect!,,,,,
Agent,Good morning! ☀️ I hope tours went well this weekend. Checking in to see if you had any favorites so far,,,,,
Lead,"good morning ! thank you for checking in. umm skyhouse was an immediate no 😂 but we did like define living, timbergrove and the west over at west branch. i do have some other stuff scheduled for this weekend apart from the last two we have. after that i’m hoping to narrow down on having a top three and go from there.",,,,,
Agent,"Of course. Lol got you, any particular reason they’re so out of the question?",,,,,
Agent,And okay sounds good. Throughout the week I may send you a couple more to consider. What other buildings did you schedule?,,,,,
Lead,it was just skyhouse that was terrible we didn’t really like the set up and off the walk in it was ghetto 😂 i’m sorry i know things are crazy all over but it was a hot mess. but the layout was not so great the kitchen was very small and the ceilings looked undone but i guess that’s the buildings style,,,,,
Lead,"other than that the other options were good timbergrove , westover and define were our favs from there only thing was define doesn’t have any availability for the time of december so we’d have to keep a look out",,,,,
Lead,i have to double check but i believe it was modera and broadstone i don’t remember the names exactly don’t quote me lol,,,,,
Agent,Lol got you! You know some people just loveee Highrises so I guess always good to see to know all your options,,,,,
Agent,Liked “other than that the other options were good timber…”,,,,,
Agent,"Probably Modera Garden Oaks. I thought it was odd you didn’t choose to see them from your list. I think you’ll love them! 
 
 The others may be Broadstone Amelia and/or Broadstone Amarra? Amelia just opened and Amarra won’t be open for your move date. They’re brand new but note that no units have balconies",,,,,
Lead,true but that high rise was not giving and their professionalism was shot. whoever was at the front was upset we interrupted her lunch like girl you’re sitting in the front eating at the check in desk go in the lounge or something idk 😂😂,,,,,
Lead,you know i think i overlooked modera idk why i didn’t add it either 😂 i think it’s amelia yes ! okay noted !,,,,,
Lead,i do appreciate your help i’ll lyk how saturday goes and hopefully we’ll have a top 3-4 list from there.,,,,,
Agent,Reacted 😂 to “true but that high rise was not giving and their p…”,,,,,
Agent,Reacted 👍🏼 to “you know i think i overlooked modera idk why i did…”,,,,,
Agent,Of course! Okay sounds good. Hoping so 🤞🏼,,,,,
Agent,Let me know what times your tour for Modera and Broadstone are so I can send your guest card to the property,,,,,
Lead,Loved “Of course! Okay sounds good. Hoping so 🤞🏼”,,,,,
Lead,will do !,,,,,
Agent,Loved “will do ! ”,,,,,
Agent,Hey Courtney! Have you finalized times for the Modera and Broadstone tours tomorrow?,,,,,
Lead,"hey ashanti ! sorry for the delay in response, work was very busy today. but the person i’m rooming with actually had reached out to another locator for those so they were finalized through them i’m assuming.",,,,,
Agent,Hey good morning Courtney!☀️In all fairness of all the work we’ve done together I truly hope you choose to use me as your referral wherever you end up. Good luck touring today! Please let me know your thoughts after you’ve seen all the options,,,,,
Lead,Loved “Hey good morning Courtney!☀️In all fairness of all…”,,,,,
Lead,this is partially why i was trying to go solo lol. but no without a doubt ! i’ll see if i can get more info today and from her about the locator she reached out to and if they are on paper as referral. normally they ask us so if anything i’ll just give your info.,,,,,
Agent,Loved “this is partially why i was trying to go solo lol.…”,,,,,
Agent,For sure! I hope you find the one today 🙏🏼. I also sent your guest card to the property so if they ask for the referral please give them my info. If you need anything just call or text me!,,,,,
Lead,Loved “For sure! I hope you find the one today 🙏🏼. I al…”,,,,,
Lead,i gotchu thank you 😊,,,,,
Agent,Loved “i gotchu thank you 😊 ”,,,,,
Agent,Good morning!☀️How did yours go this weekend? Any final decisions between all the options?,,,,,
Lead,good morning ! umm we ended up not making it to lenox oaks bc vibe didn’t see us until like forty minutes after our scheduled time due to move ins. the lady i spoke with at lenox oaks wasn’t understanding and i wasn’t trying to argue so i left it even tho we were behind ten minutes…,,,,,
Lead,but overall everything was goood i think we’ve narrowed down on two it’s just been a busy weekend so we’re going to finalize in a few days and hopefully send an application.,,,,,
Agent,"Dang, I’m sorry to hear that. Sucks when apartments ruin the experience from the jump",,,,,
Agent,"Okay that’s good, let me know if there’s anything I can do to help with any decision making!",,,,,
