Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Agent,"Lol understood! And sounds perfect, please keep me posted and let me know if I can help with anything",,,,,
Agent,Also please be on the lookout for the referral section of the applications. That’s how the apartment takes care of me as your locator 😌,,,,,
Lead,Weird question-my bephew lives in McKinney and he needs to find a place and might also benefit from working Witt a concierge-do you work in the Dallas area? ,,,,,
Lead,Also by the way my application was accepted at 1520. ,,,,,
Lead,They’ve already assigned me to a move in concierge ,,,,,
Lead,Haven’t seen the lease yet? So haven’t been able to mention you yet ,,,,,
Agent,Sure I can definitely help him out. ,,,,,
Agent,"That’s amazing, congratulations!! I’m glad we found the one. And no worries",,,,,
Agent,Hopefully they send the lease over before the weekend. Let me know if they don’t!,,,,,
Lead,Will do ,,,,,
Lead,Yeah they called me last night to let me know ,,,,,
Lead,So it’s only been like a day-I had drama because my paystubs were oawsseird protected and they couldn’t open them? But then they complained when I printed and scanned them in because they were not original? ,,,,,
Lead,🙄,,,,,
Lead,But we sorted it out ,,,,,
Agent,Okay. Yea they are very particular when it comes to paystubs lol. It helps keep you from living next to any crazies. I’m glad y’all got it sorted out 🙌🏼,,,,,
Agent,"Hey LaShaune, I wanted to make sure you’re all set with 1520. Have you already signed your lease?",,,,,
Lead,"No not yet. I messaged them over the weekend. And they said Jesse the leasing guy would call me early in the week?
No word yet. ",,,,,
Agent,"Okay, just got off the phone with them. They said they’d send it over “asap”",,,,,
Lead,Cool thanks! ,,,,,
Agent,Of course!,,,,,
Agent,"Hey LaShaune, making sure you’re all good. Have you signed your lease and all set with a move in date?",,,,,
Lead,I did sign my lease-essentially within a few days of that last text ,,,,,
Lead,Moving in August 1,,,,,
Agent,Amazing! I’m really happy we found the right place. Do you have any questions right now for me or for them leading up to move in day?,,,,,
Lead,"Yes, it's been a really long journey and I appreciate all of your patience through this process. I do have a mover booked I believe and they have a concierge person who called me and helped me with getting an electric company and I have to also now sign up for the gas company that they suggested so that seems to be going OK they have AT&T in the building for like cable and stuff so that'll be fine so I think it'll be OK so far. I'm moving in on August 1 moving out of my building on the 31st.",,,,,
Agent,"Most definitely. And it’s really been a pleasure to help. Thank you for being so communicative throughout, that really does make it easier on me to help the best way possible. That sounds good, if any questions or issues arise please let me know and of course I’ll do what I can. And I’ll stay in touch. If you need anything, or if you have friends/family/coworkers that could use my help, please send them over, I love helping associates and loved ones!",,,,,
Agent,"Also, a couple details when you get a chance. Can you send over please 🙏🏼…

Unit #
Base rent
Any specials 
Lease term",,,,,
Lead,I'm driving but yes later today I can send that over to you. Thank you.,,,,,
Agent,Thanks a bunch,,,,,
Lead,"Hi there! Yesterday was full of meetings…

I signed a 12 month lease. 
I’m moving August 1 into unit 1488.

Monthly base rent is $2760.",,,,,
Lead,,Image,,,,
Lead,"This is a screen shot from my lease. 

I get the 8 weeks free concession.

And I got the look and lease thing as well which meant my application fee and admin fees were discounted. ",,,,,
Lead,Also my nephew seems to have found a place in McKinney Texas. But my brother was wondering if there were any discounts on movers/moving supplies out there? ,,,,,
Agent,Thanks a bunch! ,,,,,
Agent,"And for your nephew, has he already applied?",,,,,
Lead,I think so? You know these kids! ,,,,,
Lead,lol ,,,,,
Agent,Lol if it was before the application and we were listed my company could have gotten him $200 off his movers. Nothing we can do now though I’m afraid 🫤,,,,,
Lead,Oh nooo I don’t think he’s scheduled the movers I thought you meant apartments ,,,,,
Agent,"Right, if he listed us as his referral when applying to his apartment we could have gotten him $200 off movers because we’d be getting paid for the transaction. But since he already applied to his apartment, there’s nothing my company can do to get him that $200 off movers",,,,,
Lead,Oh I see ,,,,,
Lead,Thabks for clearing that up! ,,,,,
Agent,Of course!,,,,,
Lead,If something changes I’ll let you know ,,,,,
Agent,Okay sounds good. I’ll be here for you to reach out to throughout your lease also so if there’s ever something I can help with never hesitate to let me know ,,,,,
Lead,"Okay, so maybe I do need help-I booked all my sons movers with a discount through someone wise but I’m seeing some videos saying they’re awful. 
Do you have other Houston area suggestions? ",,,,,
Agent,,Image,,,,
Agent,"Sure, these are a recommendation from my team. Can you please share your nephews name here and have him let Graham know Brie sent him?",,,,,
Lead,"Wait is this a Houston area mover for me?

Or for my nephew in McKinney, Judy making sure I understand your text. 

I’m the one who needs the mover ",,,,,
Agent,Those are Houston movers 👌🏼,,,,,
Agent,Hey! Sorry I’m just noticing the confusion in my message lol. Movers are for Houston (I misread ”all my sons”) you’re good to reach out to Graham and tell them Brie sent you!,,,,,
Lead,He’s really nice! I talked to him today.,,,,,
Agent,Perfect! I’m glad y’all spoke. I’m still here if you need anything else!,,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Hey Maronda, it’s Ashanti from IG. Just so I send options for the right move dates, is 5/3/2025 when your lease at The Flats ends?",,,,,
Lead,Yes that is correct ,,,,,
Lead,Hello Ashanti thank you for reaching out ,,,,,
Agent,Okay perfect. Absolutely! I have the main details from your IG message but let me know any other details you’d like me to know when searching. What email should I send apartments to?,,,,,
Lead,"mmchenault@gmail.com
Thank you",,,,,
Agent,,Audio Message,,,,
Lead,"Good morning Yes I am open to any surrounding areas. Plano, frisco or anywhere that is nice and the area is quiet. I am 52 so I am not sure if i qualify for any “senior” communities (omg I’m a senior 😜) 
Thank you again for your help! ",,,,,
Agent,Got it! And not quite! Those senior communities usually start at 55+. Pleasure is all mine 😌,,,,,
Lead,Ok great! I am not from Dallas even through I’ve been here for 5 years I live stayed in my bubble so any suggestions would be welcomed ,,,,,
Agent,"Okay got it, I’ll send some options in a bit!",,,,,
Agent,"Just emailed your list!
 
Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽

Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up!",,,,,
Agent,"Also you’ll be getting a $200 cash rebate or free move (your choice). 

I’m able to do that when I’m listed as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start any application and I’ll guide you",,,,,
Lead,"Ok awesome thank you so much! I will make sure I let you know what I decide. 
I will have time later today to look and follow up tomorrow or this evening",,,,,
Agent,Pleasure is mine! That sounds perfect ,,,,,
Lead,Hello I also wanted to mention that I want a unit on the top floor street facing not looking into the courtyard ,,,,,
Lead,Also with washer and dryer in the unit ,,,,,
Agent,Noted. All I sent will definitely have washer and dryer in the unit. I’ll dig to make sure we get top floor as well. Whenever you have your favorites I’ll revisit so I have a basis to work off of ,,,,,
Lead,I responded to your email with my favorites ,,,,,
Agent,"Okay perfect, I see them now. I’ll take a look tonight and we can start scheduling tours for this weekend. Are you pretty free Saturday & Sunday?",,,,,
Lead,Yes I am available after 11,,,,,
Agent,Okay! I’ll follow up by early morning ,,,,,
Lead,Ok no rush I’m usually up about 9 thank you ,,,,,
Agent,"Okay, pleasure is all mine ",,,,,
Agent,"Good morning Maronda, here’s an update for units at each of your favorite buildings. 


Miles One90 - 2 bedrooms start at $1685 for top floor will start at $1914
Special: up to 6 weeks free

Modera Frisco Square - $1799 but top floor will start at $2088 for your move date
Special: up to 4 weeks free

The Jade - Top floor is $1863
Special: Up to 2 months free

*Top floor you’ll notice a premium price but these are base rent prices without added fees and without specials added as well. I’ll need to verify the specials for you. 

Let me know if you’d like to see all three and I’ll schedule them for Saturday after 11am 👍🏼",,,,,
Lead,"Good morning! 
Yes I would like to see all three if possible ",,,,,
Lead,Thank you so much ,,,,,
Agent,Sounds perfect. You’re very welcome ,,,,,
Lead,Also if I decide on a place this weekend can you share with me what the application fees are and other need to knows ,,,,,
Agent,Yes of course. Would you like to go over those things before your tour or on your tour?,,,,,
Lead,During is fine ,,,,,
Agent,"Okay, I’ll follow up with your schedule 👍🏼",,,,,
Agent,"Hey Maronda, here’s your schedule for tomorrow. Let me know if you have any questions!

Saturday, March 22 
11:30 AM – Miles  One90
1:30 PM – the Jade at Frisco 
2:45 PM – Modera Frisco Square",,,,,
Lead,"Hello Ashanti
Thank you so much. 
Can the Miles one 90 be scheduled for 12.30 or 1",,,,,
Agent,"Pleasure is all mine. Done! Here’s the updated schedule:

Saturday, March 22 
12:30 AM – Miles One90
1:30 PM – the Jade at Frisco 
2:45 PM – Modera Frisco Square",,,,,
Lead,Thank you that works ,,,,,
Agent,"""Loved Message""",,,,,
Agent,"Good morning Maronda ☀️ Good luck touring today! If I can be helpful in anyway please reach out by phone, text, voice message. I’ll be here to help any way I can! I hope we find the one today 🤞🏼",,,,,
Lead,"Good morning Ashanti
Yes this is the day I will find my new home! 🤩
Super excited! Thank you so much for being thorough and professional and quick lol
I appreciate you 👑",,,,,
Lead,Will I be meeting anyone there or will I tour them alone? ,,,,,
Agent,Absolutely! You’ll be touring with a leasing agent at each apartment. Just let them know you have a tour scheduled. And just reach out to me if you run into anything at all!,,,,,
Lead,Sounds good ,,,,,
Lead,"Hey Ashanti, I saw some apartments that were like two doors down from the 190 that had like a water or a lake behind it. What are the names of those and what are the prices? I only saw it as I was driving off that’s why I didn’t go by there no rush thank you so much.",,,,,
Agent,"Hey Maronda, it’s either Adaline at the Station or Linz at the Station you’re talking about. Let me know if you’d like to schedule a tour and I’ll get you scheduled 👍🏼

Adeline has 2 bedrooms starting at $1925 before specials and Linz has 2 bedrooms at $1818",,,,,
Lead,Yes please if they have any too floors for my move in dates thank you ,,,,,
Agent,Okay I’ll check. What days will work best to tour?,,,,,
Lead,If they are open tomorrow or if they have something today if not next Saturday,,,,,
Agent,Okay let me check,,,,,
Lead,Thank you ,,,,,
Lead,One90 is the winner so far ,,,,,
Agent,"Hey Maronda, Adaline said you can tour anytime today before 4:30pm. They’re closed on Sundays. If you can’t make it today we can schedule for another day. Top floor would be $1975 + 8 weeks free",,,,,
Agent,Linz doesn’t have too floor availability for May right now ,,,,,
Lead,I am on my way ,,,,,
Agent,*Liked Message,,,,,
Lead,"Hello I looked and it’s a bit small for the price 
Can you check one more The Rye Bunker Hill ? ",,,,,
Lead,You can let me know tomorrow,,,,,
Agent,"Okay. Will do, I’ll let you know by early tomorrow the latest",,,,,
Lead,No rush enjoy your weekend ,,,,,
Agent,Thank you. You do the same!,,,,,
Lead,Thank you ,,,,,
Agent,"Good morning Maronda ☀️ At The Rye Bunker Hill, top floor would be $2199 and there’s no special on those unfortunately",,,,,
Lead,"Good morning Ashanti
thank you 💛
I sent you an email. I believe that MilesOne90 may have a top level that she did not mention I am not sure what “HC” meant in the floor plan ",,,,,
Lead,,Image,,,,
Agent,"Okay great, that one looks like it may work. HC usually stands for High Ceilings so it could be a steal. ",,,,,
Agent,"We could wait until tomorrow to confirm or apply to avoid anyone else applying, since it’s the only top floor B2 in the price range",,,,,
Lead,Ok thank you for clarifying ,,,,,
Agent,Pleasure’s all mine ,,,,,
Lead,What do you suggest? If it is not available I loose the application fee correct? ,,,,,
Agent,"I suggest we wait and ask. The HC could also stand for Handicap accessible which would mean lower counter tops, bars in the shower, etc",,,,,
Lead,Ok makes since ,,,,,
Agent,*Loved Message,,,,,
Lead,"Good Afternoon 
This week … 
Can you look in 
The Colony 
Addison 
Plano newer builds if you are able to find something within my preferences? 
Sasche is a trek but I will keep it in mind as a last resort 🤩",,,,,
Agent,"Good Afternoon! Yes of course, I’ll take a look and send some recommendations ",,,,,
Lead,Thank you ,,,,,
Agent,Absolutely!,,,,,
Agent,"Good Morning ☀️ 
HC does stand for Handicap accessible. I’ll be looking for other options today!",,,,,
Lead,Good morning thank you ,,,,,
Agent,"Hey Maronda, I’m still looking for other options. I updated your portal with a few more. Are you open to Garland? The Quinn on Thirty has some spacious top floor options and they’re less than 20 mins from Downtown",,,,,
Lead,"Hey Ashanti 
No I am not interested in that area of Dallas. No Garland , Mesquite or downtown. I do not want to move in that direction if at all possible. 
Thank you",,,,,
Agent,Okay got it,,,,,
Lead,I appreciate you thank you ,,,,,
Agent,*Loved message,,,,,
Agent,Happy to help!,,,,,
Agent,"Hey Maronda, I added a few more options to your portal. I’ll highlight them below.  All top floor

Frankfort Station- 2/2 | 1257 sqft | $2050

Kilby Apartments - 2/2 | 1170 sqft | $1855

Norra - 2/2 | 1056 sqft | $1835

Watterscape(Allen) - 2/2 | 1042 sqft | $1995. Would need to extend lease, available June 7th

Berkshire Pullman (Frisco) - 2/2 | 1059 sqft | $1905. Would need to extend lease, available June 2",,,,,
Lead,Thank you ,,,,,
Agent,My pleasure ,,,,,
Agent,"Hey Maronda, did you want to set up any other tours?",,,,,
Lead,"Hey Ashanti, I am still reviewing. I will let you know soon ",,,,,
Lead,Thank you for following up 🤩,,,,,
Agent,Okay sounds perfect! Of course 😌,,,,,
Lead,Good morning no tours at this time thank you ,,,,,
Agent,"Okay, my pleasure. Are there any options you’ve come across that piqued your interest that I can compare to?",,,,,
Lead,"No I will keep looking at the companies you gave me. 
You can add others you come across ",,,,,
Agent,Okay sounds good,,,,,
Lead,"Happy Saturday 
When you get a chance can you see what these have

The James 
Canton Creek

Creek side Apartments  

The Pradera 

All on Custer Rd

Thank you ☺️",,,,,
Agent,"Happy Saturday! 

The Pradera has a 2/2 available top floor for $1979 available May 5th

The others are out of price range and/or not top floor and no availability for that early May move date",,,,,
Agent,Would you like to schedule for The Pradera?,,,,,
Lead,Yes please ,,,,,
Agent,Of course. They’re closed tomorrow. Is there a day next week that works or would you like to schedule for next Saturday?,,,,,
Lead,Wednesday- Friday after 4,,,,,
Lead,Saturday after 12:30,,,,,
Agent,Okay 👍🏼 I’ll let you know when you’re scheduled!,,,,,
Agent,Good afternoon Maronda. Your tour at The Pradera is scheduled for this Wednesday @ 4:30pm,,,,,
Lead,Thank you ,,,,,
Agent,My pleasure,,,,,
Agent,"There’s a top floor apartment at Greenvue in Richardson. $1688. But you would have to make a move-in date of 5/30 work

www.Liveatgreenvue.com",,,,,
Agent,"Also a top floor unit at Centric One90. $1952 + 1 Month Free

www.centricone90.com",,,,,
Lead,For the Centric One 90 do you know the floor plan? ,,,,,
Lead,Or what is the move in date? ,,,,,
Lead,I called and spoke with the leasing agent so no worries ,,,,,
Agent,"Okay, I was wrong on price. Just incase you got different info from leasing best options would probably be..

B2 - $1987 - May 12
B1 - $1918 - Now (can be held for 2 weeks and can see if leasing will accommodate early May move)",,,,,
Lead,Hello Ashanti so let me find out if they will allow me to extend my lease if not I will let you know. I don’t have family here so we don’t have anyone to stay with or a place to put our belongings if we have to extend for a week or a few days ,,,,,
Agent,"Okay sounds good, I’ll wait on your word",,,,,
Lead,"Hey Ashanti 
Can you please schedule an appointment for 
Alta Firewheel Saturday and Centric One90 tomorrow 
I appreciate your help",,,,,
Agent,"Sure thing, I’ll update you where they’re scheduled ",,,,,
Agent,"Good evening Maronda, sorry for the late message. Here’s your tour schedule. Let me know if you have any questions!

Thursday, April 3 
4:30 PM - Centric One90

Saturday, April 5 
1 PM – Alta Firewheel",,,,,
Lead,"Thank you Ashanti 
Have a great evening",,,,,
Agent,"Pleasure is mine
You as well",,,,,
Agent,Good afternoon & good luck touring today. If I can be helpful in anyway just let me know how! I’d love to know your thoughts after your tour!,,,,,
Lead,Good Afternoon I will keep you posted thank you 🤩,,,,,
Agent,*Loved message,,,,,
Agent,Sounds perfect!,,,,,
Lead,Hello I applied for Firewheel 🙏🏽,,,,,
Agent,Amazing! I’m so happy you liked it! ,,,,,
Agent,Everything you wanted. Top floor and all?,,,,,
Lead,Yes top floor new apartment no one has lived in and a few specials. I will keep you posted ,,,,,
Agent,"Perfect, please do!",,,,,
Lead,"Happy Sunday!
 I have a friend that lives in Houston her name is Shawn and I gave her your number she is looking for a place.",,,,,
Agent,"Happy Sunday! 
Okay perfect, thanks for the referral!",,,,,
Lead,"Happy Monday!
🤩💛

I m APPROVED! 
Yay! I am so excited that this is over lol 
Thank you so much for your patience and kindness during this arduous process. 
You are a blessing.

What is your address I would like to send you a thank you. ♥️",,,,,
Lead,Also do having any moving company recommendations? ,,,,,
Agent,"Happy Monday!! Amazing!! 🤩 I’m soo happy we got it done! And it was such a pleasure to work with you. 

And nooo, i couldn’t. I truly do this because I love to help 🫶🏼",,,,,
Agent,And yes we’re actually partnered with this moving company and you’ll get two free hours with them through us. If you’d like them to reach out to you to discuss your move just let me know and I’ll arrange it!,,,,,
Agent,,Electronic Business card,,,,
Lead,"Yes please set up a call 
The Move date is May 2 
From 75080 to 75040",,,,,
Agent,Okay will do! ,,,,,
Lead,Do you know if they are bonded and insured?,,,,,
Agent,"I can only assume since they are partnered with my company. You can ask when they call and I know many agents who use them all the time in Dallas, I’m just not one of them. And of course there’s no obligation when you speak to them, just let me know once you do if you’ll be going with them",,,,,
Lead,Thank you will do,,,,,
Agent,Absolutely!,,,,,
Lead,"Hey Ashanti I’m going to go with the moving company you suggested.
I know you say they are good and his quote seems reasonable. Do you need contact them before I send the deposit? ",,,,,
Agent,"Hey Maronda! Okay perfect. No, you’re good to go. They already know you’re a referral from us and the two free hours will reflect in your bill. 

When you get a chance I’ll just need your lease info below please!

Lease term
Base rent amount 
Any specials received 
Unit number ",,,,,
Lead,I sent you an email with the information you requested 💛,,,,,
Agent,*Loved message,,,,,
Agent,Thank you! 😊 ,,,,,
Lead,You’re welcome ,,,,,
Agent,"Hey Maronda, I just wanted to make sure move in went smooth. How has your move in and apartment experience been so far?",,,,,
Lead,Hey Ashanti everything went great with the movers and moving in. It has been a pleasant experience so far. Thanks for checking. ,,,,,
Agent,That’s great to hear! Absolutely. I’ll always be here to help where I can so never hesitate to reach out. ,,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Hey Lauren, it’s Ashanti with Apt Amigo. Thanks for submitting your form! I’m happy to help you find your next apartment and share any post info from my Instagram page. 
 
What areas/neighborhoods are you considering? ",,,,,
Lead,Hey Ashanti ! Thank you for reaching out. I’m looking to move    to heights / midtown area  . I do see East downtown has some new things I’m willing to explore.  ,,,,,
Agent,Of course! Got it! When are you needing to move? Do you have a specific lease end date?,,,,,
Lead,I would like to move by May .,,,,,
Lead,No lease end date ,,,,,
Lead, Med Center is also an option ,,,,,
Agent,,Audio Message,,,,
Lead,Good morning! Honestly 1700ish probably would be max for me.  My work schedule is flexibility . I only work 3 days. Weekdays are best for me . ,,,,,
Agent,"Okay got it! Are there any other details that are important to you that I should know? Pet friendly, square foot requirements, special amenities, etc?",,,,,
Lead,I would prefer like a 700sq foot. Nothing too big since it’s just me . I am a sucker for nice amenities. I do like the new modern look . ,,,,,
Lead,Idk if I mentioned washer/ dryer ,,,,,
Agent,Got it. And yes of course washer and dryer will be included. I’ll send some options shortly and we’ll start scheduling some tours!,,,,,
Agent,"Just emailed your list!
 
Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽

Keep in mind most options I sent are running specials (Ex. 6 weeks free) which can significantly reduce the base rent amount you see

Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up!",,,,,
Agent,"Also you’ll be getting a $200 cash rebate or free move (your choice). 

I’m able to do that when I’m listed as your referral correctly when you tour and apply - If you know what to look for at time of application, that’s perfect. If not, just reach out before you start any application and I’ll guide you!",,,,,
Lead,Thank you! I’ll check it out ,,,,,
Agent,Pleasure is mine! Sounds perfect ,,,,,
Lead,"Here are my top pick . 
Freeway Place 
Tempo at white oak 
Lenox heights
Rye heights
The miller residences
Artistry design",,,,,
Agent,Okay perfect. Drewery Place for the first one? Does Monday/Tuesday tours sound good? It might be a tight window to try to schedule them for tomorrow and Friday,,,,,
Lead,"Yes Drewery place . Sorry 😭
Monday works for me .",,,,,
Agent,Lol no worries. Okay sounds good. I’ll have them all scheduled for Monday! 👍🏼,,,,,
Lead,Sounds good . Just keep me posted . Any deals at 10x15  street flats? ,,,,,
Agent,"Will do, I’ll send you the full schedule when they’re confirmed. And they’re giving a $500 credit. They generally never have specials more than that",,,,,
Lead,"Compared to the others, that’s not a good deal ? ",,,,,
Agent,No. Many I sent are offering a month to two months free. Which is a $1700-$3400 credit,,,,,
Lead,Another thing.. sorry . Safety is a big one too for me . ,,,,,
Agent,No worries! I hear you,,,,,
Agent,"Good evening Lauren. Here’s the schedule for Monday!

10 AM – Artistry design district 
11 AM – Rye Heights 
12 PM – Lenox Heights 
1 PM – Tempo at White Oak 
2 PM – The Mill residences",,,,,
Agent,The only building that was completely booked is Drewery Place who stays pretty booked. The next available tours are Thursday morning and then next Monday. Let me know which will work best!,,,,,
Lead,Ahh sadness. That’s the one I was looking forward to . Let’s do the 10th at 11am,,,,,
Agent,"I’m sorry. On the 10th they have 9:30, 12:30, 1:30, 2:30. Which would be best?",,,,,
Lead,Good morning! Let’s do 9:30am,,,,,
Agent,"Good morning! You’re booked for Drewery Place on Monday, march 10 @9:30am 👍🏼",,,,,
Lead,Thank you!,,,,,
Agent,Absolutely!,,,,,
Agent,Good morning Lauren!☀️ Good luck touring today. I won’t be there with you but I’m just a call/text/voice message away! I’m excited to hear how everything goes!,,,,,
Lead, Good morning! Thank you! I’ll keep you posted ! ☺️,,,,,
Agent,*Loved Message,,,,,
Agent,Sounds perfect!!,,,,,
Lead,Can you talk rn ? ,,,,,Escalate to a human
Agent,Yes!,,,,,
Lead,,Image,,,,
Lead,Heyy Ashanti ! Let’s schedule to talk tomorrow? I’m free all day. What time works for you?,,,,,
Lead,"I actually looked here since I was on this side of town. The prices are *chefs kiss * like $1100-$1300.  The location is not ideal but those prices make it worth it . However, the only thing missing is a balcony 😭 think you could find something like this in the same are with a balcony? ",,,,,
Lead,bellrockmemorial.com,,,,,
Agent,"Hey Lauren! Okay, morning works like 9am and then 1pm and then the evening will work at like 7pm. 

Okay, the properties that will be similar are Broadstone properties that won’t have balconies either, so Broadstone Amarra and Broadstone Amelia. And then Co-op Heights has balconies but doesn’t have amenities lol so no pool or gym. 

One that I think will be right in the middle of lower end and what you saw today would be The Briarly. Brand new in the Galleria with one bedrooms at $1513 and they’re running a month free. 

Thebriarly.com",,,,,
Lead,Let’s talk tomorrow at 9am .,,,,,Escalate to a human
Agent,"Perfect. Just give me a call, I may be driving",,,,,
Lead,"Okay sounds good.
 I’m just a girl who wants her cake and eat it too . 🥴  So, sorry in advance for my difficulties.",,,,,
Lead,Good morning! are you free?,,,,,Escalate to a human
Agent,Good morning! Yes!,,,,,
Agent,Couple others that could be worth seeing is Filament at the Grid and Lenox at the grid. Built in 2023 & 2024 and units start in the $1400’s. They’re slightly closer than Sugarland but on the same side of town you’re on now,,,,,
Lead, I’ll look into them ,,,,,
Agent,Hey Lauren! What are your thoughts on Filament and Lenox at the grid? Trying to coordinate your tours today because some have limited availability,,,,,
Lead,Heyyy Ashanti ! I like them but too close to where I am now. Feel like I should just stay home. I prefer to be closer to the city .,,,,,
Agent,Got it! No problem ,,,,,
Lead,For vibe .. is it at 1pm ?,,,,,
Lead,Can we move it to 12? I work night shift Monday and need to be home by like 1pm ? So I can nap before work.,,,,,
Agent,"Sorry Lauren, I never sent my message! For Vibe it’s at 1:30pm that’s the earliest they had besides a 9am but that would conflict with your 9:30am appt at Drewery Place. Do you want to move it to another day?",,,,,
Lead,Hey Ashanti ! No worries ! Yes . Let’s book another day . I can do the 17th or 18th . What’s all scheduled for Monday?,,,,,
Agent,"Okay, I’ll schedule for the morning of the 17th. Monday you have Drewery Place at 9:30am and The Briarly at 11am.",,,,,
Lead,Let’s go for  the 17th around like 11/12,,,,,
Lead,Have you seen any other spots that you think I may like? ,,,,,
Agent,Vibe is going to be that low price you reallly want. Thats just not common in the areas we want and like you seen might have to sacrifice balcony etc. The other options will be more in that 1600 range we already saw. I’m personally hoping you fall in love with The Briarly. $1513 isn’t as low as $1300 but still saves you a bit more than those $1600 range units and to get everything you want would be a win. Once you see those if you still aren’t sold we can go back to square one. That sound good?,,,,,
Lead,Good idea. ,,,,,
Agent,*Loved Message,,,,,
Lead,Hey Ashanti!  Can you please cancel the Vibe reservation for tomorrow. Thank you.,,,,,
Agent,Done! Just sent them an email 👍🏼,,,,,
Agent,"For Drewery Place they require you to list the locator when you tour, just a heads up. Here’s any info you’ll need below. I’m excited to hear how everything goes tomorrow!

Ashanti DePass - AptAmigo",,,,,
Lead,Thank you!😌,,,,,
Agent,Of course!,,,,,
Agent,,Audio Message,,,,
Lead,Good morning! Hoping for some good results 🤞🏼,,,,,
Agent,Same! 🤞🏼,,,,,
Agent,"Just checked prices and Drewery is $1602 for their 640 sqft S1.2. It’s more like a studioish layout with a separate bedroom. 

The Briarly increased by about $50 also 😕 their A0 would work best starting at $1565. 

Heads up so you’re prepared!",,,,,
Lead,Heyy Ashanti ! Finished with touring for the day . I really like Briarly . I saw A0 and A1. I personally like A1 bc it has that guest connection to the restroom. But ofc it’s $1715. A0 would work thought . Just have to compromise.,,,,,
Agent,"Nicee! Okay, it looks like they have other options even slightly bigger than the A1 for $1645 with guest connection to the restroom. Did you care to see those or is the A0 price point the difference maker?",,,,,
Lead,She didn’t mentioned that one to me 😭,,,,,
Lead,I’ll have to pass back by to see that one .,,,,,
Agent,🤦🏽‍♂️. Lol okay. Don’t wait long! They’ve already started raising their prices which this early on can mean people are leasing like crazy so the owners think they’re leaving money on the table by pricing too low,,,,,
Lead,😭😭,,,,,
Lead,That’s the part . I never know what I want . ,,,,,
Lead,Depending how I feel when I get off tomorrow.. I might pass back by .,,,,,
Agent,When in doubt it’s harder to go wrong with Brand New. Prices can change everyday so if you need help with the decision making we can talk about everything. I just don’t want you to miss out on current pricing if they were to go up!,,,,,
Lead,"Going for a nap now . I’m thinking. I’m just a girl who doesn’t know what she wants 🥹 I’ll keep you posted .

Also, brairly offers $750 for healthcare workers 🥳",,,,,
Agent,"Lol okay, I’ll be staying on top of you for us to get it figured out. 

Perfect!! Everything helps 🙌🏼",,,,,
Lead,,Audio Message,,,,
Agent,,Audio Message,,,,
Lead,Thank you! It’s looking like the brairly but imma just pray about it .,,,,,
Agent,Pleasure is all mine! Okay sounds like a good idea 👌🏼,,,,,
Agent,,Video,,,,
Agent,A3 at Briarly - $1645,,,,,
Lead,Ahhh the best ! 😌,,,,,
Lead,I’m just comparing everything. I should have an answer soon 🤞🏼,,,,,
Agent,Okay! 👌🏼,,,,,
Lead,Heyyy Ashanti! I hope you are had a great day. The mill called me today and said they can offer me the 6wk free if I sign by the weekend. $1580 base + amenities total $1664. I think this is a steal !,,,,,
Agent,Mmmmm I say go for it!,,,,,
Agent,Morning Lauren ☀️ I’m here if you’re still torn and need help deciding!,,,,,
Lead,Good afternoon! 😌Thank you! I plan to sign at the Mill today. Imma go check it out one more time.,,,,,
Agent,"Sounds perfect! I’ll be here! If you go and apply, please be on the look out for the locator referral section on the app 🙏🏼 ",,,,,
Lead,Thank you!,,,,,
Agent,Of course!,,,,,
Lead,Hey ! Sorry for texting so late . I’m doing the app but there isn’t a spot to put your name . Just “ apartment locator “,,,,,
Agent,No worries! Yes just choose “apartment locator”. That will work. Thanks!,,,,,
Lead,Hey Ashanti ! Question : the mill requires rental verification… I still live at home . How would that work ? ,,,,,
Lead,I rented when I was in college that’s all . ,,,,,
Lead,I also have a mortgage .. would that work ? ,,,,,
Agent,Mmm if they’re asking for a current address is one thing but if they want to know where you rented and the only place is where you rented in college they would want to know where. I’d ask the leasing agent who is over your file if you’ve been in direct contact with anyone specifically ,,,,,
Lead,Heyy Ashanti ! I hope you are having a good day! Just wanted to updated you that I got approved. They will be send the contract soon 🥳,,,,,
Agent,"Hey Lauren!! Thats amazing!!! Exciting stuff you’re one step closer! 🥳🥳. And perfect, when you have the info handy can you please send over these details…

- Move date
- Base rent
- Any specials received
- unit number
- Lease term",,,,,
Lead,Loved Message,,,,,
Lead,"Heyy Ashanti . Happy Sunday✨
Here are the details:
- Move date: 5/16
- Base rent:$1853
- Any specials received: 6 weeks free ( $1664 )
- unit number: 306
- Lease term: 13 months",,,,,
